50.0,0.0,800,50,mur
700.0,150.0,100,50,large_floor_3
20.0,100.0,30,130,wall_1
160.0,170.0,30,30,wall_1
360.0,170.0,5,5,wall_1
160.0,270.0,30,30,wall_1
20.0,300.0,30,30,wall_1
160.0,370.0,30,30,wall_1
20.0,420.0,30,30,wall_1
160.0,490.0,30,30,wall_1
20.0,560.0,30,30,wall_1
20.0,660.0,150,30,wall_1
290.0,610.0,20,20,wall_1
450.0,430.0,30,40,wall_1
550.0,480.0,30,40,wall_1
650.0,530.0,30,40,wall_1
770.0,580.0,30,120,wall_1
570.0,700.0,40,70,wall_1
350.0,770.0,40,70,wall_1
140.0,810.0,40,70,wall_1
20.0,900.0,30,200,wall_1
70.0,1120.0,15,15,wall_1
230.0,1070.0,15,15,wall_1
330.0,1100.0,15,15,wall_1
430.0,1130.0,15,15,wall_1
560.0,1150.0,15,15,wall_1
680.0,1140.0,120,60,wall_1
760.0,50.0,40,100,mur
