200.0,360.0,30,30,pique
340.0,360.0,30,30,pique
260.0,420.0,35,30,pique
80.0,490.0,30,30,pique
170.0,440.0,30,30,pique
400.0,480.0,30,30,pique
280.0,510.0,30,30,pique
206.0,525.0,30,30,pique
350.0,560.0,30,30,pique 
90.0,600.0,30,30,pique 
240.0,630.0,30,30,pique
355.0,660.0,30,30,pique
0.0,750.0,200,30,pique
0.0,850.0,160,30,pique
0.0,950.0,150,30,pique
0.0,1050.0,180,30,pique
270.0,750.0,330,30,pique
240.0,850.0,360,30,pique
220.0,950.0,380,30,pique
260.0,1050.0,340,30,pique
240.0,1100.0,30,30,pique
205.0,1170.0,30,30,pique
30.0,1330.0,770,275,lave
