0.0,0.0,800,40,mur
0.0,150.0,100,40,wall_1
400.0,110.0,170,40,wall_1
680.0,110.0,30,165,wall_1
520.0,230.0,60,150,wall_1
770.0,300.0,30,140,wall_1
50.0,340.0,70,30,wall_1
360.0,430.0,40,70,wall_1
660.0,500.0,30,30,wall_1
470.0,520.0,30,30,wall_1
360.0,590.0,40,30,wall_1
580.0,640,30,30,wall_1
770.0,650.0,30,120,wall_1
360.0,770.0,40,100,wall_1
515.0,780.0,40,30,wall_1
770.0,800.0,30,150,wall_1
515.0,880.0,40,90,wall_1
360.0,970.0,40,130,wall_1
50.0,1100.0,100,40,wall_1
190.0,1150.0,250,50,wall_1
